OTU	Size	Taxonomy
Otu0001	6823	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas_unclassified;
Otu0002	3036	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11_clade;Surface_1;uncultured_bacterium;uncultured_bacterium_unclassified;
Otu0003	2240	Bacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu0004	1748	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus;uncultured_bacterium;
Otu0005	1741	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassomonas;Thalassomonas_unclassified;
Otu0006	1546	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0007	1299	Bacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu0008	1011	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11_clade;Surface_2;uncultured_bacterium;uncultured_bacterium_unclassified;
Otu0009	865	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OCS155_marine_group;uncultured_bacterium;uncultured_bacterium_unclassified;
Otu0010	766	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola;Glaciecola_unclassified;
Otu0011	677	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0012	633	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0013	624	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169_marine_group;uncultured_bacterium;
Otu0014	618	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassomonas;Thalassomonas_unclassified;
Otu0015	610	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11_clade;SAR11_clade_unclassified;SAR11_clade_unclassified;SAR11_clade_unclassified;
Otu0016	587	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacteriaceae_unclassified;Flavobacteriaceae_unclassified;
Otu0017	582	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0018	484	Bacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu0019	461	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86_clade;uncultured_gamma_proteobacterium;uncultured_gamma_proteobacterium_unclassified;
Otu0020	443	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0021	323	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gaetbulicola;Marivita_sp__DPG-28;
Otu0022	318	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0023	276	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0024	275	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Reinekea;Reinekea_unclassified;
Otu0025	265	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderiaceae_unclassified;Burkholderiaceae_unclassified;
Otu0026	248	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0027	246	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0028	240	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0029	238	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonadaceae_unclassified;Hyphomonadaceae_unclassified;
Otu0030	231	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassomonas;Thalassomonas_ganghwensis;
Otu0031	225	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonadaceae_unclassified;Pseudoalteromonadaceae_unclassified;
Otu0032	223	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonadaceae_unclassified;Pseudoalteromonadaceae_unclassified;
Otu0033	218	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonadaceae_unclassified;Pseudoalteromonadaceae_unclassified;
Otu0034	213	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0035	192	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;OM60(NOR5)_clade;OM60(NOR5)_clade_unclassified;
Otu0036	185	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0037	178	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116_clade;Candidatus_Puniceispirillum;uncultured_bacterium;
Otu0038	177	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospira;Magnetospira_unclassified;
Otu0039	176	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus_unclassified;
Otu0040	174	Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Kordiimonas;Kordiimonas_unclassified;
