Sampleanem_combined,Sample Name,Water,Inhabitant,Replicate,Timepoint,Cells µL-1,∆Cells µL-1,Surface Area (cm^2),Hours,Raman peak area of blanks,Total blank1 RU,Total Blank2 RU,Total sample RU after blank subtraction,Position in final database,Ultra Violet Humic-like (RU),Marine Humic-like (RU),Visible Humic-like (RU),Tryptophan-like (RU),Tyrosine-like (RU),Phenylalanine-like (RU),Fulvic Acid-like (RU),Ultra Violet Humic-like (RU/cm^2),Marine Humic-like (RU/cm^2),Visible Humic-like (RU/cm^2),Tryptophan-like (RU/cm^2),Tyrosine-like (RU/cm^2),Phenylalanine-like (RU/cm^2),Fulvic Acid-like (RU/cm^2)
CR_CH_1F_T1_FLT,CR_CH_1F_T1,Filtered,Water Control,1,1,35.326531,NA,NA,1,37547.800404475,57.716481861498,65.190253810154,43.620688806719,1,0.0227616228597,0.0262153327693,0.0220755260568,0.0212009163734,0.0310809318686,0.0257306689897,0.0107539592835,NA,NA,NA,NA,NA,NA,NA
CR_CH_2F_T1_FLT,CR_CH_2F_T1,Filtered,Water Control,2,1,13.64,NA,NA,1,37547.800404475,57.716481861498,65.190253810154,41.849964476219,2,0.020079494146,0.0225465187528,0.0199823279068,0.0166615440204,0.0256051515794,0.0038850863532,0.0098687890364,NA,NA,NA,NA,NA,NA,NA
CR_CH_3F_T1_FLT,CR_CH_3F_T1,Filtered,Water Control,3,1,21,NA,NA,1,37547.800404475,57.716481861498,65.190253810154,42.507766688933,3,0.0205977457215,0.0233613332546,0.0200522494984,0.0185085264717,0.0289917493183,0,0.009894538035,NA,NA,NA,NA,NA,NA,NA
CR_CC_1F_T1_FLT,CR_CC_1F_T1,Filtered,Calcite control,1,1,85.38,NA,27.609,1,37547.800404475,57.716481861498,65.190253810154,49.700486003743,4,0.0245307038566,0.0264962564578,0.0246280286682,0.031659628953,0.0324116281637,0.0235815642077,0.0118450786034,1.225838E-04,8.40981E-05,1.111109E-04,1.917121E-04,1.395324E-04,4.965644E-04,6.05835E-05
CR_CC_2F_T1_FLT,CR_CC_2F_T1,Filtered,Calcite control,2,1,95.632653,NA,22.59,1,37547.800404475,57.716481861498,65.190253810154,50.081242917214,5,0.0240226782376,0.0260178253898,0.0243954539681,0.0258052339614,0.0295008313451,0.0162271870385,0.0113594077865,1.273303E-04,8.1604E-05,1.255018E-04,-2.48524E-05,4.16801E-05,2.813311E-04,5.25444E-05
CR_CC_3F_T1_FLT,CR_CC_3F_T1,Filtered,Calcite control,3,1,116.58,NA,22.565,1,37547.800404475,57.716481861498,65.190253810154,56.666167179207,6,0.0239205601848,0.0259166645841,0.0239636225603,0.0304242860048,0.0312967627849,0.01950638806,0.0116035029057,1.229458E-04,7.72113E-05,1.065036E-04,1.798199E-04,1.213155E-04,4.269652E-04,6.34201E-05
CR_HR_1F_T1_FLT,CR_HR_1F_T1,Filtered,Hydrolithon reinboldii,1,1,79.77551,NA,29.302,1,37620.563706647,65.064166966434,58.997203893271,53.007984485421,7,0.0273373303957,0.0306187179857,0.0284548121364,0.0573126612315,0.0407767630094,0.0198782716782,0.0128353380666,2.11284E-04,2.391599E-04,2.530457E-04,0.0010147935,4.169506E-04,3.414905E-04,9.08781E-05
CR_HR_2F_T1_FLT,CR_HR_2F_T1,Filtered,Hydrolithon reinboldii,2,1,116.367347,NA,29.234,1,37620.563706647,65.064166966434,58.997203893271,57.30914268336,8,0.0271569832363,0.0295411963816,0.0285052305085,0.0700484280891,0.0295932156897,0.0253710242239,0.0131512919443,2.056063E-04,2.028577E-04,2.55359E-04,0.0014528031,3.53677E-05,5.30174E-04,1.018972E-04
CR_HR_3F_T1_FLT,CR_HR_3F_T1,Filtered,Hydrolithon reinboldii,3,1,95.469388,NA,25.523,1,37620.563706647,65.064166966434,58.997203893271,95.022316531717,9,0.0283808686018,0.0319459130456,0.0284548861219,0.073948716937,0.06007038535,0.0417268191721,0.0135949573942,2.834534E-04,3.265705E-04,2.905152E-04,0.0018168528,0.0012346161,0.0012480861,1.340959E-04
CR_PO_1F_T1_FLT,CR_PO_1F_T1,Filtered,Porolithon onkodes,1,1,146.632653,NA,29.225,1,37620.563706647,65.064166966434,58.997203893271,62.179866553647,10,0.0288294728049,0.0320108100851,0.0293689423635,0.0559015685717,0.0549391709146,0.0327053673399,0.0140656878068,2.628977E-04,2.727031E-04,2.965124E-04,0.0012698457,9.026482E-04,7.812985E-04,1.332167E-04
