Water,Inhabitant,Replicate,Timepoint,Hours,Cells µL-1,∆Cells µL-1,Surface Area,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,DOC 
Filtered,Water Control,1,1,1,35.326531,nd,nd,0.0227616228597,0.0262153327693,0.0220755260568,0.0212009163734,0.0310809318686,0.0257306689897,0.0107539592835,nd
Filtered,Water Control,2,1,1,13.64,nd,nd,0.020079494146,0.0225465187528,0.0199823279068,0.0166615440204,0.0256051515794,0.0038850863532,0.0098687890364,nd
Filtered,Water Control,3,1,1,21,nd,nd,0.0205977457215,0.0233613332546,0.0200522494984,0.0185085264717,0.0289917493183,0,0.009894538035,nd
Filtered,Calcite control,1,1,1,85.38,nd,27.609,0.0245307038566,0.0264962564578,0.0246280286682,0.031659628953,0.0324116281637,0.0235815642077,0.0118450786034,nd
Filtered,Calcite control,2,1,1,95.632653,nd,22.59,0.0240226782376,0.0260178253898,0.0243954539681,0.0258052339614,0.0295008313451,0.0162271870385,0.0113594077865,nd
Filtered,Calcite control,3,1,1,116.58,nd,22.565,0.0239205601848,0.0259166645841,0.0239636225603,0.0304242860048,0.0312967627849,0.01950638806,0.0116035029057,nd
Filtered,Hydrolithon reinboldii,1,1,1,79.77551,nd,29.302,0.0273373303957,0.0306187179857,0.0284548121364,0.0573126612315,0.0407767630094,0.0198782716782,0.0128353380666,nd
Filtered,Hydrolithon reinboldii,2,1,1,116.367347,nd,29.234,0.0271569832363,0.0295411963816,0.0285052305085,0.0700484280891,0.0295932156897,0.0253710242239,0.0131512919443,nd
Filtered,Hydrolithon reinboldii,3,1,1,95.469388,nd,25.523,0.0283808686018,0.0319459130456,0.0284548861219,0.073948716937,0.06007038535,0.0417268191721,0.0135949573942,nd
Filtered,Porolithon onkodes,1,1,1,146.632653,nd,29.225,0.0288294728049,0.0320108100851,0.0293689423635,0.0559015685717,0.0549391709146,0.0327053673399,0.0140656878068,nd
Filtered,Porolithon onkodes,2,1,1,136.183673,nd,23.083,0.0251970791984,0.0273093650656,0.0252758257348,0.035516073513,0.0302879018282,0.0242694311492,0.0123330460911,nd
Filtered,Porolithon onkodes,3,1,1,114.3,nd,16.603,0.0288941635854,0.0329415132303,0.0289914472236,0.0415877385637,0.0438016016569,0.020088984416,0.012912703648,nd
Unfiltered,Water Control,1,1,1,650.9,nd,nd,0.0219144150149,0.0247446980678,0.0217246565577,0.0397645409046,0.0313661162699,0.0173704401545,0.0104604626534,nd
Unfiltered,Water Control,2,1,1,657.16,nd,nd,0.021622996159,0.023879373551,0.021392922755000000,0.0254888308769,0.0244675398538,0.0147441455678,0.0101692268944,nd
Unfiltered,Water Control,3,1,1,638.68,nd,nd,0.0204270517123,0.0222084940491,0.0200026191659,0.0174781757975,0.0197481729303,0.0149559643508,0.0097801851039,nd
Unfiltered,Calcite control,1,1,1,763.16,nd,21.952,0.0245041879054,0.0264953225461,0.024488482416,0.0348457335776,0.0272633624485,0.0132792118577,0.0117642459173,nd
Unfiltered,Calcite control,2,1,1,754.78,nd,26.421,0.0247746648973,0.026371306405,0.0249305509895,0.0328223810371,0.0336129994566,0.0144612461882,0.0117853758746,nd
Unfiltered,Calcite control,3,1,1,744.7,nd,23.409,0.0257781010302,0.0280710398672,0.0263436398683,0.0325248333568,0.0241284446439,0.0173806768577,0.0122872984688,nd
Unfiltered,Hydrolithon reinboldii,1,1,1,765.938776,nd,30.69,0.0258682368478,0.028466326717,0.0269536688809,0.0516787292371,0.0353285564811,0.0182209344264,0.0126799199504,nd
Unfiltered,Hydrolithon reinboldii,2,1,1,736.26,nd,26.677,0.0272628569935,0.0305246551967,0.028056651793,0.0633236843303,0.0564150552926,0.0167225734864,0.0132949601916,nd
Unfiltered,Hydrolithon reinboldii,3,1,1,785.77551,nd,36.147,0.0283227238697,0.0324062379451,0.0295010874472,0.0593712795053,0.0447240126531,0.0350549736635,0.0138304342365,nd
Unfiltered,Porolithon onkodes,1,1,1,772.346939,nd,23.438,0.0274997519124,0.0295648030882,0.0282557645377,0.0446973362075,0.0344286061213,0.0113297649375,0.0135133674029,nd
Unfiltered,Porolithon onkodes,2,1,1,715.77551,nd,21.314,0.0277197812097,0.0304808003443,0.0289977545626,0.0431130190066,0.0434441207564,0.0359248063647,0.0135410063906,nd
Unfiltered,Porolithon onkodes,3,1,1,689.84,nd,24.476,0.026825101472,0.0292817257779,0.0280142907918,0.0462841711325,0.0431623615097,0.0165740744754,0.0130407988045,nd
Filtered,Water Control,1,2,4,36.795918,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Water Control,2,2,4,27.77551,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Water Control,3,2,4,47.877551,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Calcite control,1,2,4,252.9,nd,27.609,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Calcite control,2,2,4,173.530612,nd,22.59,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Calcite control,3,2,4,179.020408,nd,22.565,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Hydrolithon reinboldii,1,2,4,217.4,nd,29.302,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Hydrolithon reinboldii,2,2,4,226.877551,nd,29.234,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Hydrolithon reinboldii,3,2,4,213.040816,nd,25.523,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Porolithon onkodes,1,2,4,427.94,nd,29.225,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Porolithon onkodes,2,2,4,279.306122,nd,23.083,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Porolithon onkodes,3,2,4,268.7,nd,16.603,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Water Control,1,2,4,657.34,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Water Control,2,2,4,720.183673,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Water Control,3,2,4,685.714286,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Calcite control,1,2,4,779.387755,nd,21.952,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Calcite control,2,2,4,748.56,nd,26.421,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Calcite control,3,2,4,814.387755,nd,23.409,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Hydrolithon reinboldii,1,2,4,677.102041,nd,30.69,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Hydrolithon reinboldii,2,2,4,773.08,nd,26.677,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Hydrolithon reinboldii,3,2,4,743.408163,nd,36.147,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Porolithon onkodes,1,2,4,1008.395833,nd,23.438,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Porolithon onkodes,2,2,4,901.816327,nd,21.314,nd,nd,nd,nd,nd,nd,nd,nd
Unfiltered,Porolithon onkodes,3,2,4,954.755102,nd,24.476,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Water Control,1,3,8,40.938776,5.612245,nd,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Water Control,2,3,8,31.346939,17.706939,nd,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Water Control,3,3,8,39.346939,18.346939,nd,nd,nd,nd,nd,nd,nd,nd,nd
Filtered,Calcite control,1,3,8,264.96,179.58,27.609,0.0441761190781,0.0398298971461,0.0375437275556,0.0492209845854,0.039332718586,0.0304401376289,0.0186641564909,135.19
Filtered,Calcite control,2,3,8,251.86,156.227347,22.59,0.0362173622899,0.0389128810031,0.036777554888,0.0342525172838,0.0400725488793,0.0193491714418,0.0178888942124,131.47
Filtered,Calcite control,3,3,8,220.367347,103.787347,22.565,0.0385416636359,0.0384630224076,0.0363031701307,0.042540300054,0.0391874934057,0.0316148474457,0.0178358618943,137.26
Filtered,Hydrolithon reinboldii,1,3,8,330.02,250.24449,29.302,0.0445342973014,0.0469883037954,0.0470050223359,0.0622535244642,0.0418595663844,0.0236096073949,0.0221021731029,168.83
Filtered,Hydrolithon reinboldii,2,3,8,411.346939,294.979592,29.234,0.0505364161301,0.0511181055552,0.0525706884379,0.0844118245414,0.0423968309688,0.023738179502,0.0245497667111,180.29
Filtered,Hydrolithon reinboldii,3,3,8,285.877551,190.408163,25.523,0.0472281175522,0.0482087572474,0.0492335267137,0.0567024628856,0.0345011647667,0.0208162397174,0.0233076812397,170.75
Filtered,Porolithon onkodes,1,3,8,625.693878,479.061225,29.225,0.0545693486016,0.056609340363,0.0593025147738,0.0632828572154,0.0476048747762,0.0072763392041,0.0284126318272,155.80
Filtered,Porolithon onkodes,2,3,8,361.387755,225.204082,23.083,0.0446184961589,0.0464179265862,0.0480090339676,0.0640152310219,0.0449532952553,0.0237231959565,0.0228774754219,155.65
Filtered,Porolithon onkodes,3,3,8,479.102041,364.802041,16.603,0.0451951256246,0.0490780702444,0.0480010103364,0.0578859665949,0.0395490346423,0.0132245934325,0.0219350909323,nd
Unfiltered,Water Control,1,3,8,707.265306,56.365306,nd,0.0216438027078,0.0239206812687,0.0218993094507,0.0267786898202,0.0422061908851,0.0343420441189,0.0100636995193,nd
Unfiltered,Water Control,2,3,8,709.857143,52.697143,nd,0.0198831163049,0.0229192739179,0.0201065642848,0.0398144933212,0.0465427204443,0.002408813217,0.0096660756124,nd
Unfiltered,Water Control,3,3,8,721.857143,83.177143,nd,0.0207531038672,0.0223347446549,0.0208708373604,0.0225295664496,0.0298724213736,0.0093450120714,0.009877614631,152.20
Unfiltered,Calcite control,1,3,8,668.3,-94.86,21.952,0.03527817789,0.0374266803453,0.0360488081805,0.0389658218627,0.0255115761391,0.0196183891028,0.0183061538644,189.33
Unfiltered,Calcite control,2,3,8,704.14,-50.64,26.421,0.0378183331936,0.0403465786096,0.0393907308632,0.0394152960951,0.0284156286882,0.0062498384994,0.0200032358782,199.90
Unfiltered,Calcite control,3,3,8,805.795918,61.095918,23.409,0.0395389301902,0.0416070063276,0.0401536045706,0.0677281145394,0.047051741878,0.0165958683549,0.0203442434299,177.60
Unfiltered,Hydrolithon reinboldii,1,3,8,741.938776,-24,30.69,0.0416545352237,0.0437856705285,0.0442986618521,0.0570448832183,0.0357707707833,0.0258016642222,0.0212202567627,204.69
Unfiltered,Hydrolithon reinboldii,2,3,8,852.1,115.84,26.677,0.041470127861,0.0440222071579,0.0447501636238,0.0645981749803,0.0451729511917,0.0096520390905,0.0212532760096,232.59
Unfiltered,Hydrolithon reinboldii,3,3,8,708.12,-77.65551,36.147,0.0489864361375,0.0521013310595,0.0517302307785,0.0646433728347,0.0393592169499,0.01372168115,0.0254347847107,173.04
Unfiltered,Porolithon onkodes,1,3,8,1126.714286,354.367347,23.438,0.0474070813662,0.0500429253469,0.0522346405798,0.0565805280554,0.0405751276283,0.0160062933591,0.0256162597419,202.05
Unfiltered,Porolithon onkodes,2,3,8,1141.92,426.14449,21.314,0.0460374110896,0.0493624520044,0.0510069613988,0.0634491528382,0.0389067950835,0.0392730960979,0.0248002264896,227.80
Unfiltered,Porolithon onkodes,3,3,8,1041.72,351.88,24.476,0.0469886794207,0.0482205764578,0.0518688796592,0.0580746164023,0.0359144562416,0.0171089385943,0.0256770706924,nd
